Source File,Material Name,Property Name,Value,Units
glass - chengdu.txt,H-F4,Poisson's Ratio,0,
glass - chengdu.txt,H-F4,Thermal Expansion Coefficient,0.000007900000000,
glass - chengdu.txt,H-F4,Mass Density,2670,
glass - chengdu.txt,H-K9L,Poisson's Ratio,0.000000000000000,
glass - chengdu.txt,H-K9L,Thermal Expansion Coefficient,8.3e-06,
glass - chengdu.txt,H-K9L,Mass Density,2520,
glass - chengdu.txt,H-LAFL5,Poisson's Ratio,0,
glass - chengdu.txt,H-LAFL5,Thermal Expansion Coefficient,0.000007400000000,
glass - chengdu.txt,H-LAFL5,Mass Density,3710,
glass - chengdu.txt,H-LAK7,Thermal Expansion Coefficient,0.000006000000000,
glass - chengdu.txt,H-LAK7,Mass Density,3820,
glass - chengdu.txt,H-LAK4L,Poisson's Ratio,0,
glass - chengdu.txt,H-LAK4L,Thermal Expansion Coefficient,0.000006300000000,
glass - chengdu.txt,H-LAK4L,Mass Density,2990,
glass - chengdu.txt,H-QF1,Poisson's Ratio,0,
glass - chengdu.txt,H-QF1,Thermal Expansion Coefficient,0.000009500000000,
glass - chengdu.txt,H-QF1,Mass Density,2550,
glass - chengdu.txt,H-ZF52A,Thermal Expansion Coefficient,0.000009200000000,
glass - chengdu.txt,H-ZF52A,Mass Density,3520,
glass - chengdu.txt,H-ZK9A,Poisson's Ratio,0,
glass - chengdu.txt,H-ZK9A,Thermal Expansion Coefficient,0.000006400000000,
glass - chengdu.txt,H-ZK9A,Mass Density,3530,
glass - hoya.txt,E-FD4,Poisson's Ratio,0.256,
glass - hoya.txt,E-FD4,Thermal Expansion Coefficient,8.7e-06,
glass - hoya.txt,E-FD4,Mass Density,3230,
glass - hoya.txt,E-FD4,Thermal Conductivity,0.2256,
glass - hoya.txt,E-FD4,ND,1,
glass - hoya.txt,E-FD4,VD,2,
glass - ohara.txt,S-NPH2,Elastic Modulus,9.91E+10,
glass - ohara.txt,S-NPH2,Poisson's Ratio,0.249,
glass - ohara.txt,S-NPH2,Shear Modulus,3.9672E+10,
glass - ohara.txt,S-NPH2,Thermal Expansion Coefficient,7e-06,
glass - ohara.txt,S-NPH2,Mass Density,3580,
glass - ohara.txt,S-NPH2,Thermal Conductivity,0.969,
glass - ohara.txt,S-NPH2,Specific Heat,550,
glass - ohara.txt,S-NPH2,ND,Unknown,
glass - ohara.txt,S-NPH2,VD,Unknown,
glass - ohara.txt,S-NPH1,Elastic Modulus,89300000768.000000,
glass - ohara.txt,S-NPH1,Poissons Ratio,0.250000,
glass - ohara.txt,S-NPH1,Shear Modulus,35719999488.000000,
glass - ohara.txt,S-NPH1,Thermal Expansion Coefficient,0.000008,
glass - ohara.txt,S-NPH1,Density,3290.000000,
glass - ohara.txt,S-NPH1,Thermal Conductivity,0.882000,
glass - ohara.txt,S-NPH1,Specific Heat,550.000000,
glass - ohara.txt,S-NPH1,ND,Unknown,
glass - ohara.txt,S-NPH1,VD,Unknown,
glass - ohara.txt,S-NBH51,Elastic Modulus in X,1.097E+011,
glass - ohara.txt,S-NBH51,Poisson's Ration in XY,0.253,
glass - ohara.txt,S-NBH51,Shear Modulus in XY,4.3775E+010,
glass - ohara.txt,S-NBH51,Thermal Expansion Coefficient in X,7e-006,
glass - ohara.txt,S-NBH51,Mass Density,3290,
glass - ohara.txt,S-NBH51,Thermal Conductivity in X,1.124,
glass - ohara.txt,S-NBH51,Specific Heat,550,
glass - ohara.txt,S-NBH8,Elastic Modulus in X,1.017E+011,
glass - ohara.txt,S-NBH8,Poisson's Ration in XY,0.25,
glass - ohara.txt,S-NBH8,Shear Modulus in XY,4.068E+010,
glass - ohara.txt,S-NBH8,Thermal Expansion Coefficient in X,8e-006,
glass - ohara.txt,S-NBH8,Mass Density,3190,
glass - ohara.txt,S-NBH8,Thermal Conductivity in X,1.052,
glass - ohara.txt,S-NBH8,Specific Heat,550,
glass - ohara.txt,S-NBH5,Elastic Modulus in X,9.02E+010,
glass - ohara.txt,S-NBH5,Poisson's Ration in XY,0.248,
glass - ohara.txt,S-NBH5,Shear Modulus in XY,3.6138E+010,
glass - ohara.txt,S-NBH5,Thermal Expansion Coefficient in X,7e-006,
glass - ohara.txt,S-NBH5,Mass Density,3020,
glass - ohara.txt,S-NBH5,Thermal Conductivity in X,0.965,
glass - ohara.txt,S-NBH5,Specific Heat,550,
glass - ohara.txt,S-NBM51,Elastic Modulus,81700000000.000000,
glass - ohara.txt,S-NBM51,Poissons Ratio,0.243000,
glass - ohara.txt,S-NBM51,Shear Modulus,32864000000.000000,
glass - ohara.txt,S-NBM51,Thermal Expansion Coefficient,0.000006,
glass - ohara.txt,S-NBM51,Density,2930.000000,
glass - ohara.txt,S-NBM51,Thermal Conductivity,0.904000,
glass - ohara.txt,S-NBM51,Specific Heat,550.000000,
glass - ohara.txt,S-FTM16,Elastic Modulus in X,6.53E+010,
glass - ohara.txt,S-FTM16,Poisson's Ration in XY,0.238,
glass - ohara.txt,S-FTM16,Shear Modulus in XY,2.6373E+010,
glass - ohara.txt,S-FTM16,Thermal Expansion Coefficient in X,9e-006,
glass - ohara.txt,S-FTM16,Mass Density,2640,
glass - ohara.txt,S-FTM16,Thermal Conductivity in X,0.947,
glass - ohara.txt,S-FTM16,Specific Heat,550,
glass - ohara.txt,S-YGH51,Elastic Modulus,122200000000.000000,
glass - ohara.txt,S-YGH51,Poissons Ratio,0.291000,
glass - ohara.txt,S-YGH51,Shear Modulus,47328000000.000000,
glass - ohara.txt,S-YGH51,Thermal Expansion Coefficient,0.000006,
glass - ohara.txt,S-YGH51,Density,4400.000000,
glass - ohara.txt,S-YGH51,Thermal Conductivity,0.842000,
glass - ohara.txt,S-YGH51,Specific Heat,550.000000,
glass - ohara.txt,S-LAH79,Elastic Modulus in X,1.255E+011,
glass - ohara.txt,S-LAH79,Poisson's Ration in XY,0.297,
glass - ohara.txt,S-LAH79,Shear Modulus in XY,4.8381E+010,
glass - ohara.txt,S-LAH79,Thermal Expansion Coefficient in X,6e-006,
glass - ohara.txt,S-LAH79,Mass Density,5230,
glass - ohara.txt,S-LAH79,Thermal Conductivity in X,0.957,
glass - ohara.txt,S-LAH79,Specific Heat,550,
glass - ohara.txt,S-LAH66,Elastic Modulus in X,1.219E+011,
glass - ohara.txt,S-LAH66,Poisson's Ration in XY,0.291,
glass - ohara.txt,S-LAH66,Shear Modulus in XY,4.7211E+010,
glass - ohara.txt,S-LAH66,Thermal Expansion Coefficient in X,6e-006,
glass - ohara.txt,S-LAH66,Mass Density,4230,
glass - ohara.txt,S-LAH66,Thermal Conductivity in X,0.845,
glass - ohara.txt,S-LAH66,Specific Heat,550,
glass - ohara.txt,S-LAH65,Elastic Modulus,125800000000.000000,
glass - ohara.txt,S-LAH65,Poissons Ratio,0.295000,
glass - ohara.txt,S-LAH65,Shear Modulus,48571000000.000000,
glass - ohara.txt,S-LAH65,Thermal Expansion Coefficient,0.000006,
glass - ohara.txt,S-LAH65,Density,4760.000000,
glass - ohara.txt,S-LAH65,Thermal Conductivity,0.833000,
glass - ohara.txt,S-LAH65,Specific Heat,550.000000,
glass - ohara.txt,S-LAH64,Elastic Modulus,122400000000.000000,
glass - ohara.txt,S-LAH64,Poissons Ratio,0.294000,
glass - ohara.txt,S-LAH64,Shear Modulus,47295000000.000000,
glass - ohara.txt,S-LAH64,Thermal Expansion Coefficient,0.000006000000000,
glass - ohara.txt,S-LAH64,Density,4300.000000,
glass - ohara.txt,S-LAH64,Thermal Conductivity,0.856000,
glass - ohara.txt,S-LAH64,Specific Heat,550.000000,
glass - ohara.txt,S-LAH63,Elastic Modulus in X,1.121E+011,
glass - ohara.txt,S-LAH63,Poisson's Ration in XY,0.295,
glass - ohara.txt,S-LAH63,Shear Modulus in XY,4.3282E+010,
glass - ohara.txt,S-LAH63,Thermal Expansion Coefficient in X,6e-006,
glass - ohara.txt,S-LAH63,Mass Density,4340,
glass - ohara.txt,S-LAH63,Thermal Conductivity in X,0.849,
glass - ohara.txt,S-LAH63,Specific Heat,550,
glass - ohara.txt,S-LAH60,Elastic Modulus,124800000000.000000,
glass - ohara.txt,S-LAH60,Poissons Ratio,0.296000,
glass - ohara.txt,S-LAH60,Shear Modulus,48148000768.000000,
glass - ohara.txt,S-LAH60,Thermal Expansion Coefficient,0.000006,
glass - ohara.txt,S-LAH60,Density,4430.000000,
glass - ohara.txt,S-LAH60,Thermal Conductivity,0.872000,
glass - ohara.txt,S-LAH60,Specific Heat,550.000000,
glass - ohara.txt,S-LAH59,Elastic Modulus in X,1.25E+011,
glass - ohara.txt,S-LAH59,Poisson's Ration in XY,0.298,
glass - ohara.txt,S-LAH59,Shear Modulus in XY,4.8151E+010,
glass - ohara.txt,S-LAH59,Thermal Expansion Coefficient in X,6e-006,
glass - ohara.txt,S-LAH59,Mass Density,5070,
glass - ohara.txt,S-LAH59,Thermal Conductivity in X,0.816,
glass - ohara.txt,S-LAH59,Specific Heat,550,
glass - ohara.txt,S-LAH58,Elastic Modulus,126800003072.000000,
glass - ohara.txt,S-LAH58,Poissons Ratio,0.301000,
glass - ohara.txt,S-LAH58,Shear Modulus,48732000256.000000,
glass - ohara.txt,S-LAH58,Thermal Expansion Coefficient,0.000007,
glass - ohara.txt,S-LAH58,Density,5520.000000,
glass - ohara.txt,S-LAH58,Thermal Conductivity,0.827000,
glass - ohara.txt,S-LAH58,Specific Heat,550.000000,
glass - ohara.txt,S-LAH55,Elastic Modulus in X,1.249E+011,
glass - ohara.txt,S-LAH55,Poisson's Ration in XY,0.296,
glass - ohara.txt,S-LAH55,Shear Modulus in XY,4.8187E+010,
glass - ohara.txt,S-LAH55,Thermal Expansion Coefficient in X,6e-006,
glass - ohara.txt,S-LAH55,Mass Density,4730,
glass - ohara.txt,S-LAH55,Thermal Conductivity in X,0.846,
glass - ohara.txt,S-LAH55,Specific Heat,550,
glass - ohara.txt,S-LAH53,Elastic Modulus in X,1.127E+011,
glass - ohara.txt,S-LAH53,Poisson's Ration in XY,0.299,
glass - ohara.txt,S-LAH53,Shear Modulus in XY,4.338E+010,
glass - ohara.txt,S-LAH53,Thermal Expansion Coefficient in X,6e-006,
glass - ohara.txt,S-LAH53,Mass Density,4430,
glass - ohara.txt,S-LAH53,Thermal Conductivity in X,0.86,
glass - ohara.txt,S-LAH53,Specific Heat,550,
glass - ohara.txt,S-LAH52,Elastic Modulus in X,1.119E+011,
glass - ohara.txt,S-LAH52,Poisson's Ration in XY,0.297,
glass - ohara.txt,S-LAH52,Shear Modulus in XY,4.3138E+010,
glass - ohara.txt,S-LAH52,Thermal Expansion Coefficient in X,6e-006,
glass - ohara.txt,S-LAH52,Mass Density,4410,
glass - ohara.txt,S-LAH52,Thermal Conductivity in X,0.828,
glass - ohara.txt,S-LAH52,Specific Heat,550,
glass - ohara.txt,S-LAH51,Elastic Modulus in X,1.129E+011,
glass - ohara.txt,S-LAH51,Poisson's Ration in XY,0.297,
glass - ohara.txt,S-LAH51,Shear Modulus in XY,4.3524E+010,
glass - ohara.txt,S-LAH51,Thermal Expansion Coefficient in X,6e-006,
glass - ohara.txt,S-LAH51,Mass Density,4400,
glass - ohara.txt,S-LAH51,Thermal Conductivity in X,0.826,
glass - ohara.txt,S-LAH51,Specific Heat,550,
glass - ohara.txt,S-LAM66,Elastic Modulus,1.21E+11,
glass - ohara.txt,S-LAM66,Poisson's Ratio,0.28,
glass - ohara.txt,S-LAM66,Shear Modulus,4.7266E+10,
glass - ohara.txt,S-LAM66,Thermal Expansion Coefficient,8e-06,
glass - ohara.txt,S-LAM66,Mass Density,3550,
glass - ohara.txt,S-LAM66,Thermal Conductivity,1.602,
glass - ohara.txt,S-LAM66,Specific Heat,550,
glass - ohara.txt,S-LAM61,Elastic Modulus in X,9.37E+010,
glass - ohara.txt,S-LAM61,Poisson's Ration in XY,0.29,
glass - ohara.txt,S-LAM61,Shear Modulus in XY,3.6318E+010,
glass - ohara.txt,S-LAM61,Thermal Expansion Coefficient in X,7e-006,
glass - ohara.txt,S-LAM61,Mass Density,4100,
glass - ohara.txt,S-LAM61,Thermal Conductivity in X,0.732,
glass - ohara.txt,S-LAM61,Specific Heat,550,
glass - ohara.txt,S-LAM60,Elastic Modulus in X,1.132E+011,
glass - ohara.txt,S-LAM60,Poisson's Ration in XY,0.294,
glass - ohara.txt,S-LAM60,Shear Modulus in XY,4.374E+010,
glass - ohara.txt,S-LAM60,Thermal Expansion Coefficient in X,5e-006,
glass - ohara.txt,S-LAM60,Mass Density,4060,
glass - ohara.txt,S-LAM60,Thermal Conductivity in X,0.845,
glass - ohara.txt,S-LAM60,Specific Heat,550,
glass - ohara.txt,S-LAM59,Elastic Modulus in X,1.006E+011,
glass - ohara.txt,S-LAM59,Poisson's Ration in XY,0.277,
glass - ohara.txt,S-LAM59,Shear Modulus in XY,3.9389E+010,
glass - ohara.txt,S-LAM59,Thermal Expansion Coefficient in X,7e-006,
glass - ohara.txt,S-LAM59,Mass Density,3770,
glass - ohara.txt,S-LAM59,Thermal Conductivity in X,0.847,
glass - ohara.txt,S-LAM59,Specific Heat,550,
glass - ohara.txt,S-LAM58,Elastic Modulus in X,9.19E+010,
glass - ohara.txt,S-LAM58,Poisson's Ration in XY,0.279,
glass - ohara.txt,S-LAM58,Shear Modulus in XY,3.5927E+010,
glass - ohara.txt,S-LAM58,Thermal Expansion Coefficient in X,7e-006,
glass - ohara.txt,S-LAM58,Mass Density,4000,
glass - ohara.txt,S-LAM58,Thermal Conductivity in X,0.771,
glass - ohara.txt,S-LAM58,Specific Heat,550,
glass - ohara.txt,S-LAM55,Elastic Modulus in X,9.67E+010,
glass - ohara.txt,S-LAM55,Poisson's Ration in XY,0.292,
glass - ohara.txt,S-LAM55,Shear Modulus in XY,3.7423E+010,
glass - ohara.txt,S-LAM55,Thermal Expansion Coefficient in X,7e-006,
glass - ohara.txt,S-LAM55,Mass Density,4220,
glass - ohara.txt,S-LAM55,Thermal Conductivity in X,0.741,
glass - ohara.txt,S-LAM55,Specific Heat,550,
glass - ohara.txt,S-LAM54,Elastic Modulus in X,1.172E+011,
glass - ohara.txt,S-LAM54,Poisson's Ration in XY,0.292,
glass - ohara.txt,S-LAM54,Shear Modulus in XY,4.5356E+010,
glass - ohara.txt,S-LAM54,Thermal Expansion Coefficient in X,6e-006,
glass - ohara.txt,S-LAM54,Mass Density,4080,
glass - ohara.txt,S-LAM54,Thermal Conductivity in X,0.891,
glass - ohara.txt,S-LAM54,Specific Heat,550,
glass - ohara.txt,S-LAM52,Elastic Modulus in X,9.57E+010,
glass - ohara.txt,S-LAM52,Poisson's Ration in XY,0.278,
glass - ohara.txt,S-LAM52,Shear Modulus in XY,3.7441E+010,
glass - ohara.txt,S-LAM52,Thermal Expansion Coefficient in X,8e-006,
glass - ohara.txt,S-LAM52,Mass Density,3950,
