Glass Name,Poisson's Ratio,Thermal Expansion Coefficient,Density (kg/m³),Thermal Conductivity,Other Properties
H-F4,0,0.000007900000000,2670,,
H-K9L,0.000000000000000,8.3e-06,2520,,
H-LAFL5,0,0.000007400000000,3710,,
H-LAK7,,0.000006000000000,3820,,
H-LAK4L,0,0.000006300000000,2990,,
H-QF1,0,0.000009500000000,2550,,
H-ZF52A,,0.000009200000000,3520,,
H-ZK9A,0,0.000006400000000,3530,,
E-FD4,0.256,8.7e-06,3230,0.2256,ND: 1; VD: 2
S-NPH2,0.249,7e-06,3580,0.969,Elastic Modulus: 9.91E+10; Shear Modulus: 3.9672E+10; Specific Heat: 550; ND:; VD:
S-NPH1,,0.000008,,0.882000,Elastic Modulus: 89300000768.000000; Poissons Ratio: 0.250000; Shear Modulus: 35719999488.000000; Density: 3290.000000; Specific Heat: 550.000000; ND:; VD:
S-NBH51,,,3290,,Elastic Modulus in X: 1.097E+011; Poisson's Ration in XY: 0.253; Shear Modulus in XY: 4.3775E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 1.124; Specific Heat: 550
S-NBH8,,,3190,,Elastic Modulus in X: 1.017E+011; Poisson's Ration in XY: 0.25; Shear Modulus in XY: 4.068E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.052; Specific Heat: 550
S-NBH5,,,3020,,Elastic Modulus in X: 9.02E+010; Poisson's Ration in XY: 0.248; Shear Modulus in XY: 3.6138E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.965; Specific Heat: 550
S-NBM51,,0.000006,,0.904000,Elastic Modulus: 81700000000.000000; Poissons Ratio: 0.243000; Shear Modulus: 32864000000.000000; Density: 2930.000000; Specific Heat: 550.000000
S-FTM16,,,2640,,Elastic Modulus in X: 6.53E+010; Poisson's Ration in XY: 0.238; Shear Modulus in XY: 2.6373E+010; Thermal Expansion Coefficient in X: 9e-006; Thermal Conductivity in X: 0.947; Specific Heat: 550
S-YGH51,,0.000006,,0.842000,Elastic Modulus: 122200000000.000000; Poissons Ratio: 0.291000; Shear Modulus: 47328000000.000000; Density: 4400.000000; Specific Heat: 550.000000
S-LAH79,,,5230,,Elastic Modulus in X: 1.255E+011; Poisson's Ration in XY: 0.297; Shear Modulus in XY: 4.8381E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.957; Specific Heat: 550
S-LAH66,,,4230,,Elastic Modulus in X: 1.219E+011; Poisson's Ration in XY: 0.291; Shear Modulus in XY: 4.7211E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.845; Specific Heat: 550
S-LAH65,,0.000006,,0.833000,Elastic Modulus: 125800000000.000000; Poissons Ratio: 0.295000; Shear Modulus: 48571000000.000000; Density: 4760.000000; Specific Heat: 550.000000
S-LAH64,,0.000006000000000,,0.856000,Elastic Modulus: 122400000000.000000; Poissons Ratio: 0.294000; Shear Modulus: 47295000000.000000; Density: 4300.000000; Specific Heat: 550.000000
S-LAH63,,,4340,,Elastic Modulus in X: 1.121E+011; Poisson's Ration in XY: 0.295; Shear Modulus in XY: 4.3282E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.849; Specific Heat: 550
S-LAH60,,0.000006,,0.872000,Elastic Modulus: 124800000000.000000; Poissons Ratio: 0.296000; Shear Modulus: 48148000768.000000; Density: 4430.000000; Specific Heat: 550.000000
S-LAH59,,,5070,,Elastic Modulus in X: 1.25E+011; Poisson's Ration in XY: 0.298; Shear Modulus in XY: 4.8151E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.816; Specific Heat: 550
S-LAH58,,0.000007,,0.827000,Elastic Modulus: 126800003072.000000; Poissons Ratio: 0.301000; Shear Modulus: 48732000256.000000; Density: 5520.000000; Specific Heat: 550.000000
S-LAH55,,,4730,,Elastic Modulus in X: 1.249E+011; Poisson's Ration in XY: 0.296; Shear Modulus in XY: 4.8187E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.846; Specific Heat: 550
S-LAH53,,,4430,,Elastic Modulus in X: 1.127E+011; Poisson's Ration in XY: 0.299; Shear Modulus in XY: 4.338E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.86; Specific Heat: 550
