Glass Name,Source,Elastic Modulus,Poisson's Ratio,Shear Modulus,Thermal Expansion Coefficient,Density (kg/m³),Thermal Conductivity,Other Properties
H-F4,Other,N/A,0,N/A,0.000007900000000,2670.0 kg/m³,N/A,N/A
H-K9L,Other,N/A,0.000000000000000,N/A,8.3e-06,2520.0 kg/m³,N/A,N/A
H-LAFL5,Other,N/A,0,N/A,0.000007400000000,3710.0 kg/m³,N/A,N/A
H-LAK7,Other,N/A,N/A,N/A,0.000006000000000,3820.0 kg/m³,N/A,N/A
H-LAK4L,Other,N/A,0,N/A,0.000006300000000,2990.0 kg/m³,N/A,N/A
H-QF1,Other,N/A,0,N/A,0.000009500000000,2550.0 kg/m³,N/A,N/A
H-ZF52A,Other,N/A,N/A,N/A,0.000009200000000,3520.0 kg/m³,N/A,N/A
H-ZK9A,Other,N/A,0,N/A,0.000006400000000,3530.0 kg/m³,N/A,N/A
E-FD4,Hoya,N/A,0.256,N/A,8.7e-06,3230.0 kg/m³,0.2256,ND: 1; VD: 2
S-NPH2,Other,9.91E+10,0.249,3.9672E+10,7e-06,3580.0 kg/m³,0.969,Specific Heat: 550; ND:; VD:
S-NPH1,Other,89300000768.000000,0.250000,35719999488.000000,0.000008,3290.0 kg/m³,0.882000,Specific Heat: 550.000000; ND:; VD:
S-NBH51,Other,1.097E+011,0.253,4.3775E+010,7e-006,3290.0 kg/m³,1.124,Specific Heat: 550
S-NBH8,Other,1.017E+011,0.25,4.068E+010,8e-006,3190.0 kg/m³,1.052,Specific Heat: 550
S-NBH5,Other,9.02E+010,0.248,3.6138E+010,7e-006,3020.0 kg/m³,0.965,Specific Heat: 550
S-NBM51,Other,81700000000.000000,0.243000,32864000000.000000,0.000006,2930.0 kg/m³,0.904000,Specific Heat: 550.000000
S-FTM16,Other,6.53E+010,0.238,2.6373E+010,9e-006,2640.0 kg/m³,0.947,Specific Heat: 550
S-YGH51,Other,122200000000.000000,0.291000,47328000000.000000,0.000006,4400.0 kg/m³,0.842000,Specific Heat: 550.000000
S-LAH79,Other,1.255E+011,0.297,4.8381E+010,6e-006,5230.0 kg/m³,0.957,Specific Heat: 550
S-LAH66,Other,1.219E+011,0.291,4.7211E+010,6e-006,4230.0 kg/m³,0.845,Specific Heat: 550
S-LAH65,Other,125800000000.000000,0.295000,48571000000.000000,0.000006,4760.0 kg/m³,0.833000,Specific Heat: 550.000000
S-LAH64,Other,122400000000.000000,0.294000,47295000000.000000,0.000006000000000,4300.0 kg/m³,0.856000,Specific Heat: 550.000000
S-LAH63,Other,1.121E+011,0.295,4.3282E+010,6e-006,4340.0 kg/m³,0.849,Specific Heat: 550
S-LAH60,Other,124800000000.000000,0.296000,48148000768.000000,0.000006,4430.0 kg/m³,0.872000,Specific Heat: 550.000000
S-LAH59,Other,1.25E+011,0.298,4.8151E+010,6e-006,5070.0 kg/m³,0.816,Specific Heat: 550
S-LAH58,Other,126800003072.000000,0.301000,48732000256.000000,0.000007,5520.0 kg/m³,0.827000,Specific Heat: 550.000000
S-LAH55,Other,1.249E+011,0.296,4.8187E+010,6e-006,4730.0 kg/m³,0.846,Specific Heat: 550
S-LAH53,Other,1.127E+011,0.299,4.338E+010,6e-006,4430.0 kg/m³,0.86,Specific Heat: 550
S-LAH52,Other,1.119E+011,0.297,4.3138E+010,6e-006,4410.0 kg/m³,0.828,Specific Heat: 550
S-LAH51,Other,1.129E+011,0.297,4.3524E+010,6e-006,4400.0 kg/m³,0.826,Specific Heat: 550
S-LAM66,Other,1.21E+11,0.28,4.7266E+10,8e-06,3550.0 kg/m³,1.602,Specific Heat: 550
S-LAM61,Other,9.37E+010,0.29,3.6318E+010,7e-006,4100.0 kg/m³,0.732,Specific Heat: 550
S-LAM60,Other,1.132E+011,0.294,4.374E+010,5e-006,4060.0 kg/m³,0.845,Specific Heat: 550
S-LAM59,Other,1.006E+011,0.277,3.9389E+010,7e-006,3770.0 kg/m³,0.847,Specific Heat: 550
S-LAM58,Other,9.19E+010,0.279,3.5927E+010,7e-006,4000.0 kg/m³,0.771,Specific Heat: 550
S-LAM55,Other,9.67E+010,0.292,3.7423E+010,7e-006,4220.0 kg/m³,0.741,Specific Heat: 550
S-LAM54,Other,1.172E+011,0.292,4.5356E+010,6e-006,4080.0 kg/m³,0.891,Specific Heat: 550
S-LAM52,Other,9.57E+010,0.278,3.7441E+010,8e-006,3950.0 kg/m³,0.801,Specific Heat: 550
S-LAM51,Other,1.007E+011,0.278,3.9397E+010,7e-006,3790.0 kg/m³,0.867,Specific Heat: 550
S-LAM7,Other,9.7E+010,0.273,3.8099E+010,7e-006,3810.0 kg/m³,0.871,Specific Heat: 550
S-LAM3,Other,8.68E+010,0.294,3.3539E+010,8e-006,4250.0 kg/m³,0.655,Specific Heat: 550
S-LAM2,Other,935000000.000000,0.295000,36100000000.000000,0.000007000000000,4320.0 kg/m³,0.698000,Specific Heat: 550.000000
S-LAL61,Other,1.19E+011,0.291,4.6088E+010,6e-006,4040.0 kg/m³,0.861,Specific Heat: 550
S-LAL59,Other,1.137E+011,0.293,4.3968E+010,5e-006,4040.0 kg/m³,0.863,Specific Heat: 550
S-LAL58,Other,9.28E+010,0.285,3.6109E+010,8e-006,4030.0 kg/m³,0.728,Specific Heat: 550
S-LAL56,Other,9.11E+010,0.28,3.5586E+010,7e-006,3850.0 kg/m³,0.778,Specific Heat: 550
S-LAL54,Other,8.77E+010,0.277,3.4338E+010,7e-006,3820.0 kg/m³,0.761,Specific Heat: 550
S-LAL18,Other,120400000000.000000,0.289000,46703000000.000000,0.000006,4180.0 kg/m³,0.871000,Specific Heat: 550.000000
S-LAL14,Other,1.118E+011,0.284,4.3536E+010,6e-006,3700.0 kg/m³,0.908,Specific Heat: 550
S-LAL13,Other,1.073E+011,0.29,4.1589E+010,6e-006,3600.0 kg/m³,0.893,Specific Heat: 550
S-LAL12,Other,90999996416.000000,0.284000,35435999232.000000,0.000007,4010.0 kg/m³,0.717000,Specific Heat: 550.000000
S-LAL10,Other,1.061E+011,0.294,4.0997E+010,6e-006,3860.0 kg/m³,0.85,Specific Heat: 550
S-LAL9,Other,107500003328.000000,0.287000,41763999744.000000,0.000006,3630.0 kg/m³,0.895000,Specific Heat: 550.000000
S-LAL8,Other,114000000000.000000,0.289000,44220000000.000000,0.000006,3790.0 kg/m³,0.894000,Specific Heat: 550.000000
S-LAL7,Other,9.58E+010,0.271,3.7687E+010,7e-006,3730.0 kg/m³,0.825,Specific Heat: 550
S-TIH53,Other,96000000000.000000,0.266000,37915000832.000000,0.000009,3540.0 kg/m³,1.000000,Specific Heat: 550.000000
S-TIH23,Other,9.22E+010,0.26,3.6587E+010,9e-006,3300.0 kg/m³,0.992,Specific Heat: 550
S-TIH18,Other,8.91E+010,0.248,3.5696E+010,8e-006,3070.0 kg/m³,1.029,Specific Heat: 550
S-TIH14,Other,8.88E+010,0.254,3.5407E+010,9e-006,3170.0 kg/m³,1.027,Specific Heat: 550
S-TIH13,Other,8.99E+010,0.249,3.5989E+010,8e-006,3100.0 kg/m³,1.034,Specific Heat: 550
S-TIH11,Other,9.12E+010,0.255,3.6335E+010,9e-006,3240.0 kg/m³,1.017,Specific Heat: 550
S-TIH10,Other,1.024E+011,0.243,4.1191E+010,8e-006,3060.0 kg/m³,1.043,Specific Heat: 550
S-TIH6,Other,9.309999923E+010,0.261,3.69149993E+010,9e-006,3370.0 kg/m³,1.011,Specific Heat: 550
S-TIH4,Other,91900000000.000000,0.254000,36643000000.000000,0.000008,3150.0 kg/m³,1.010000,Specific Heat: 550.000000
S-TIH3,Other,9.08E+010,0.254,3.6204E+010,8e-006,3110.0 kg/m³,1.027,Specific Heat: 550
S-TIH1,Other,88400000000.000000,0.247000,35445000000.000000,0.000008,3060.0 kg/m³,1.018000,Specific Heat: 550.000000
S-TIM39,Other,8.17E+010,0.246,3.2785E+010,9e-006,2920.0 kg/m³,0.988,Specific Heat: 550
S-TIM35,Other,8.75E+010,0.238,3.5339E+010,8e-006,2960.0 kg/m³,1.049,Specific Heat: 550
S-TIM28,Other,85500000000.000000,0.242000,34420000000.000000,0.000008,2980.0 kg/m³,1.006000,Specific Heat: 550.000000
S-TIM27,Other,7.93E+010,0.236,3.2079E+010,8e-006,2760.0 kg/m³,1.035,Specific Heat: 550
S-TIM25,Other,8.41E+010,0.236,3.4021E+010,8e-006,2910.0 kg/m³,1.046,Specific Heat: 550
S-TIM22,Other,7.98E+010,0.238,3.2229E+010,8e-006,2790.0 kg/m³,1.024,Specific Heat: 550
S-TIM8,Other,7.5E+010,0.231,3.0463E+010,8e-006,2630.0 kg/m³,1.034,Specific Heat: 550
S-TIM5,Other,7.63E+010,0.233,3.0941E+010,8e-006,2630.0 kg/m³,1.04,Specific Heat: 550
S-TIM3,Other,7.79E+010,0.229,3.1692E+010,8e-006,2670.0 kg/m³,1.044,Specific Heat: 550
S-TIM2,Other,77600000000.000000,0.230000,31545000000.000000,0.000008,2690.0 kg/m³,1.394000,Specific Heat: 550.000000
S-TIM1,Other,7.86E+010,0.234,3.1848E+010,8e-006,2710.0 kg/m³,1.043,Specific Heat: 550
S-TIL27,Other,7.49E+010,0.217,3.0772E+010,7e-006,2580.0 kg/m³,1.07,Specific Heat: 550
S-TIL26,Other,7.39E+010,0.222,3.0237E+010,8e-006,2570.0 kg/m³,1.054,Specific Heat: 550
S-TIL25,Other,7.53E+010,0.22,3.0861E+010,7e-006,2590.0 kg/m³,1.054,Specific Heat: 550
S-TIL6,Other,6.48E+010,0.146,2.8272E+010,8e-006,2500.0 kg/m³,1.059,Specific Heat: 550
S-TIL2,Other,6.99E+010,0.22,2.8648E+010,8e-006,2520.0 kg/m³,1.051,Specific Heat: 550
S-TIL1,Other,7.05E+010,0.222,2.8846E+010,9e-006,2540.0 kg/m³,1.039,Specific Heat: 550
S-PHM53,Other,7.08E+010,0.285,2.7549E+010,9e-006,3510.0 kg/m³,0.615,Specific Heat: 550
S-PHM52,Other,71500000000.000000,0.292000,27670000000.000000,0.000010,3670.0 kg/m³,0.599000,Specific Heat: 550.000000
S-BAH32,Other,9.04E+010,0.26,3.5873E+010,7e-006,3260.0 kg/m³,0.921,Specific Heat: 550
S-BAH28,Other,9.11E+010,0.213,3.7552E+010,7e-006,3670.0 kg/m³,0.889,Specific Heat: 550
S-BAH27,Other,9.36E+010,0.272,3.6792E+010,6e-006,3670.0 kg/m³,0.869,Specific Heat: 550
S-BAH11,Other,9.29E+010,0.274,3.646E+010,7e-006,3590.0 kg/m³,0.858,Specific Heat: 550
S-BAH10,Other,96200000000.000000,0.273000,37785000000.000000,0.000007,3480.0 kg/m³,0.902000,Specific Heat: 550.000000
