Glass Name,Source File,Refractive Index,RI Wavelength,Abbe,Elastic Modulus,Poisson's Ratio,Shear Modulus,Thermal Expansion Coefficient,Density (kg/m³),Thermal Conductivity,Specific Heat,Tensile Strength,Compressive Strength,Other Properties
H-F4,CHENGDU,,,,N/A,0,N/A,0.0000079,2670.0 kg/m³,N/A,N/A,N/A,N/A,N/A
H-K9L,CHENGDU,,,,N/A,0,N/A,8.30E-06,2520.0 kg/m³,N/A,N/A,N/A,N/A,N/A
H-LAFL5,CHENGDU,,,,N/A,0,N/A,0.0000074,3710.0 kg/m³,N/A,N/A,N/A,N/A,N/A
H-LAK7,CHENGDU,,,,N/A,N/A,N/A,0.000006,3820.0 kg/m³,N/A,N/A,N/A,N/A,N/A
H-LAK4L,CHENGDU,,,,N/A,0,N/A,0.0000063,2990.0 kg/m³,N/A,N/A,N/A,N/A,N/A
H-QF1,CHENGDU,,,,N/A,0,N/A,0.0000095,2550.0 kg/m³,N/A,N/A,N/A,N/A,N/A
H-ZF52A,CHENGDU,,,,N/A,N/A,N/A,0.0000092,3520.0 kg/m³,N/A,N/A,N/A,N/A,N/A
H-ZK9A,CHENGDU,,,,N/A,0,N/A,0.0000064,3530.0 kg/m³,N/A,N/A,N/A,N/A,N/A
E-FD4,HOYA,,,,N/A,0.256,N/A,8.70E-06,3230.0 kg/m³,0.2256,N/A,N/A,N/A,ND: 1; VD: 2
S-NPH2,OHARA,,,,9.91E+10,0.249,3.97E+10,7.00E-06,3580.0 kg/m³,0.969,550,N/A,N/A,ND:; VD:
S-NPH1,OHARA,,,,89300000768,0.25,35719999488,0.000008,3290.0 kg/m³,0.882,550,N/A,N/A,ND:; VD:
S-NBH51,OHARA,,,,1.10E+11,0.253,4.38E+10,7.00E-06,3290.0 kg/m³,1.124,550,N/A,N/A,N/A
S-NBH8,OHARA,,,,1.02E+11,0.25,4.07E+10,8.00E-06,3190.0 kg/m³,1.052,550,N/A,N/A,N/A
S-NBH5,OHARA,,,,9.02E+10,0.248,3.61E+10,7.00E-06,3020.0 kg/m³,0.965,550,N/A,N/A,N/A
S-NBM51,OHARA,,,,81700000000,0.243,32864000000,0.000006,2930.0 kg/m³,0.904,550,N/A,N/A,N/A
S-FTM16,OHARA,,,,6.53E+10,0.238,2.64E+10,9.00E-06,2640.0 kg/m³,0.947,550,N/A,N/A,N/A
S-YGH51,OHARA,,,,1.222E+11,0.291,47328000000,0.000006,4400.0 kg/m³,0.842,550,N/A,N/A,N/A
S-LAH79,OHARA,,,,1.26E+11,0.297,4.84E+10,6.00E-06,5230.0 kg/m³,0.957,550,N/A,N/A,N/A
S-LAH66,OHARA,,,,1.22E+11,0.291,4.72E+10,6.00E-06,4230.0 kg/m³,0.845,550,N/A,N/A,N/A
S-LAH65,OHARA,,,,1.258E+11,0.295,48571000000,0.000006,4760.0 kg/m³,0.833,550,N/A,N/A,N/A
S-LAH64,OHARA,,,,1.224E+11,0.294,47295000000,0.000006,4300.0 kg/m³,0.856,550,N/A,N/A,N/A
S-LAH63,OHARA,,,,1.12E+11,0.295,4.33E+10,6.00E-06,4340.0 kg/m³,0.849,550,N/A,N/A,N/A
S-LAH60,OHARA,,,,1.248E+11,0.296,48148000768,0.000006,4430.0 kg/m³,0.872,550,N/A,N/A,N/A
S-LAH59,OHARA,,,,1.25E+11,0.298,4.82E+10,6.00E-06,5070.0 kg/m³,0.816,550,N/A,N/A,N/A
S-LAH58,OHARA,,,,1.268E+11,0.301,48732000256,0.000007,5520.0 kg/m³,0.827,550,N/A,N/A,N/A
S-LAH55,OHARA,,,,1.25E+11,0.296,4.82E+10,6.00E-06,4730.0 kg/m³,0.846,550,N/A,N/A,N/A
S-LAH53,OHARA,,,,1.13E+11,0.299,4.34E+10,6.00E-06,4430.0 kg/m³,0.86,550,N/A,N/A,N/A
S-LAH52,OHARA,,,,1.12E+11,0.297,4.31E+10,6.00E-06,4410.0 kg/m³,0.828,550,N/A,N/A,N/A
S-LAH51,OHARA,,,,1.13E+11,0.297,4.35E+10,6.00E-06,4400.0 kg/m³,0.826,550,N/A,N/A,N/A
S-LAM66,OHARA,,,,1.21E+11,0.28,4.73E+10,8.00E-06,3550.0 kg/m³,1.602,550,N/A,N/A,N/A
S-LAM61,OHARA,,,,9.37E+10,0.29,3.63E+10,7.00E-06,4100.0 kg/m³,0.732,550,N/A,N/A,N/A
S-LAM60,OHARA,,,,1.13E+11,0.294,4.37E+10,5.00E-06,4060.0 kg/m³,0.845,550,N/A,N/A,N/A
S-LAM59,OHARA,,,,1.01E+11,0.277,3.94E+10,7.00E-06,3770.0 kg/m³,0.847,550,N/A,N/A,N/A
S-LAM58,OHARA,,,,9.19E+10,0.279,3.59E+10,7.00E-06,4000.0 kg/m³,0.771,550,N/A,N/A,N/A
S-LAM55,OHARA,,,,9.67E+10,0.292,3.74E+10,7.00E-06,4220.0 kg/m³,0.741,550,N/A,N/A,N/A
S-LAM54,OHARA,,,,1.17E+11,0.292,4.54E+10,6.00E-06,4080.0 kg/m³,0.891,550,N/A,N/A,N/A
S-LAM52,OHARA,,,,9.57E+10,0.278,3.74E+10,8.00E-06,3950.0 kg/m³,0.801,550,N/A,N/A,N/A
S-LAM51,OHARA,,,,1.01E+11,0.278,3.94E+10,7.00E-06,3790.0 kg/m³,0.867,550,N/A,N/A,N/A
S-LAM7,OHARA,,,,9.70E+10,0.273,3.81E+10,7.00E-06,3810.0 kg/m³,0.871,550,N/A,N/A,N/A
S-LAM3,OHARA,,,,8.68E+10,0.294,3.35E+10,8.00E-06,4250.0 kg/m³,0.655,550,N/A,N/A,N/A
S-LAM2,OHARA,,,,935000000,0.295,36100000000,0.000007,4320.0 kg/m³,0.698,550,N/A,N/A,N/A
S-LAL61,OHARA,,,,1.19E+11,0.291,4.61E+10,6.00E-06,4040.0 kg/m³,0.861,550,N/A,N/A,N/A
S-LAL59,OHARA,,,,1.14E+11,0.293,4.40E+10,5.00E-06,4040.0 kg/m³,0.863,550,N/A,N/A,N/A
S-LAL58,OHARA,,,,9.28E+10,0.285,3.61E+10,8.00E-06,4030.0 kg/m³,0.728,550,N/A,N/A,N/A
S-LAL56,OHARA,,,,9.11E+10,0.28,3.56E+10,7.00E-06,3850.0 kg/m³,0.778,550,N/A,N/A,N/A
S-LAL54,OHARA,,,,8.77E+10,0.277,3.43E+10,7.00E-06,3820.0 kg/m³,0.761,550,N/A,N/A,N/A
S-LAL18,OHARA,,,,1.204E+11,0.289,46703000000,0.000006,4180.0 kg/m³,0.871,550,N/A,N/A,N/A
S-LAL14,OHARA,,,,1.12E+11,0.284,4.35E+10,6.00E-06,3700.0 kg/m³,0.908,550,N/A,N/A,N/A
S-LAL13,OHARA,,,,1.07E+11,0.29,4.16E+10,6.00E-06,3600.0 kg/m³,0.893,550,N/A,N/A,N/A
S-LAL12,OHARA,,,,90999996416,0.284,35435999232,0.000007,4010.0 kg/m³,0.717,550,N/A,N/A,N/A
S-LAL10,OHARA,,,,1.06E+11,0.294,4.10E+10,6.00E-06,3860.0 kg/m³,0.85,550,N/A,N/A,N/A
S-LAL9,OHARA,,,,1.075E+11,0.287,41763999744,0.000006,3630.0 kg/m³,0.895,550,N/A,N/A,N/A
S-LAL8,OHARA,,,,1.14E+11,0.289,44220000000,0.000006,3790.0 kg/m³,0.894,550,N/A,N/A,N/A
S-LAL7,OHARA,,,,9.58E+10,0.271,3.77E+10,7.00E-06,3730.0 kg/m³,0.825,550,N/A,N/A,N/A
S-TIH53,OHARA,,,,96000000000,0.266,37915000832,0.000009,3540.0 kg/m³,1,550,N/A,N/A,N/A
S-TIH23,OHARA,,,,9.22E+10,0.26,3.66E+10,9.00E-06,3300.0 kg/m³,0.992,550,N/A,N/A,N/A
S-TIH18,OHARA,,,,8.91E+10,0.248,3.57E+10,8.00E-06,3070.0 kg/m³,1.029,550,N/A,N/A,N/A
S-TIH14,OHARA,,,,8.88E+10,0.254,3.54E+10,9.00E-06,3170.0 kg/m³,1.027,550,N/A,N/A,N/A
S-TIH13,OHARA,,,,8.99E+10,0.249,3.60E+10,8.00E-06,3100.0 kg/m³,1.034,550,N/A,N/A,N/A
S-TIH11,OHARA,,,,9.12E+10,0.255,3.63E+10,9.00E-06,3240.0 kg/m³,1.017,550,N/A,N/A,N/A
S-TIH10,OHARA,,,,1.02E+11,0.243,4.12E+10,8.00E-06,3060.0 kg/m³,1.043,550,N/A,N/A,N/A
S-TIH6,OHARA,,,,9.31E+10,0.261,3.69E+10,9.00E-06,3370.0 kg/m³,1.011,550,N/A,N/A,N/A
S-TIH4,OHARA,,,,91900000000,0.254,36643000000,0.000008,3150.0 kg/m³,1.01,550,N/A,N/A,N/A
S-TIH3,OHARA,,,,9.08E+10,0.254,3.62E+10,8.00E-06,3110.0 kg/m³,1.027,550,N/A,N/A,N/A
S-TIH1,OHARA,,,,88400000000,0.247,35445000000,0.000008,3060.0 kg/m³,1.018,550,N/A,N/A,N/A
S-TIM39,OHARA,,,,8.17E+10,0.246,3.28E+10,9.00E-06,2920.0 kg/m³,0.988,550,N/A,N/A,N/A
S-TIM35,OHARA,,,,8.75E+10,0.238,3.53E+10,8.00E-06,2960.0 kg/m³,1.049,550,N/A,N/A,N/A
S-TIM28,OHARA,,,,85500000000,0.242,34420000000,0.000008,2980.0 kg/m³,1.006,550,N/A,N/A,N/A
S-TIM27,OHARA,,,,7.93E+10,0.236,3.21E+10,8.00E-06,2760.0 kg/m³,1.035,550,N/A,N/A,N/A
S-TIM25,OHARA,,,,8.41E+10,0.236,3.40E+10,8.00E-06,2910.0 kg/m³,1.046,550,N/A,N/A,N/A
S-TIM22,OHARA,,,,7.98E+10,0.238,3.22E+10,8.00E-06,2790.0 kg/m³,1.024,550,N/A,N/A,N/A
S-TIM8,OHARA,,,,7.50E+10,0.231,3.05E+10,8.00E-06,2630.0 kg/m³,1.034,550,N/A,N/A,N/A
S-TIM5,OHARA,,,,7.63E+10,0.233,3.09E+10,8.00E-06,2630.0 kg/m³,1.04,550,N/A,N/A,N/A
S-TIM3,OHARA,,,,7.79E+10,0.229,3.17E+10,8.00E-06,2670.0 kg/m³,1.044,550,N/A,N/A,N/A
S-TIM2,OHARA,,,,77600000000,0.23,31545000000,0.000008,2690.0 kg/m³,1.394,550,N/A,N/A,N/A
S-TIM1,OHARA,,,,7.86E+10,0.234,3.18E+10,8.00E-06,2710.0 kg/m³,1.043,550,N/A,N/A,N/A
S-TIL27,OHARA,,,,7.49E+10,0.217,3.08E+10,7.00E-06,2580.0 kg/m³,1.07,550,N/A,N/A,N/A
S-TIL26,OHARA,,,,7.39E+10,0.222,3.02E+10,8.00E-06,2570.0 kg/m³,1.054,550,N/A,N/A,N/A
S-TIL25,OHARA,,,,7.53E+10,0.22,3.09E+10,7.00E-06,2590.0 kg/m³,1.054,550,N/A,N/A,N/A
S-TIL6,OHARA,,,,6.48E+10,0.146,2.83E+10,8.00E-06,2500.0 kg/m³,1.059,550,N/A,N/A,N/A
